TIME   ,GSR ,EDA_Filtered,EDA_Phasic,EDA_Tonic
51:15.3,4   ,1.93        ,0         ,39.11
51:15.3,0.19,1.91        ,0         ,39.05
51:15.3,0.14,1.89        ,-36.17    ,38.98
51:15.3,0.31,1.87        ,-36.62    ,38.92
51:15.3,0.32,1.84        ,-37.07    ,38.86
51:15.3,0.26,1.82        ,-37.5     ,38.8
51:15.3,0.35,1.79        ,-37.93    ,38.74
51:15.3,0.01,1.76        ,-38.35    ,38.68
51:15.3,0.01,1.74        ,-38.77    ,38.61
51:15.4,0.01,1.71        ,-39.17    ,38.55
51:15.4,0.03,1.68        ,-39.47    ,38.49
51:15.4,0.02,1.65        ,-39.56    ,38.43
51:15.4,0.03,1.61        ,-39.55    ,38.36
51:15.4,0.04,1.58        ,-39.53    ,38.3
51:15.4,0.04,1.55        ,-39.51    ,38.24
51:15.4,0.02,1.51        ,-39.5     ,38.18
51:15.4,0.01,1.48        ,-39.48    ,38.11
51:15.4,0.01,1.44        ,-39.45    ,38.05
51:15.4,0.01,1.41        ,-39.43    ,37.99
51:15.4,0.01,1.37        ,-39.41    ,37.92
51:15.4,0.01,1.33        ,-39.38    ,37.86
51:15.4,0.01,1.29        ,-39.36    ,37.79
51:15.5,0.02,1.26        ,-39.33    ,37.73
51:15.5,0.02,1.22        ,-39.3     ,37.67
51:15.5,0.02,1.18        ,-39.27    ,37.6
51:15.5,0.02,1.14        ,-39.24    ,37.54
51:15.5,0.02,1.1         ,-39.2     ,37.47
51:15.5,0.05,1.06        ,-39.17    ,37.41
51:15.5,0.04,1.02        ,-39.13    ,37.34
51:15.5,0.03,0.99        ,-39.1     ,37.28
51:15.5,0.02,0.95        ,-39.06    ,37.21
51:15.5,0.02,0.91        ,-39.02    ,37.15
51:15.5,0.02,0.87        ,-38.98    ,37.08
51:15.5,0.02,0.83        ,-38.94    ,37.02
51:15.5,0.01,0.8         ,-38.9     ,36.95
51:15.6,0.01,0.76        ,-38.85    ,36.89
51:15.6,0.02,0.72        ,-38.81    ,36.82
51:15.6,0.02,0.69        ,-38.76    ,36.75
51:15.6,0.02,0.65        ,-38.72    ,36.69
51:15.6,0.02,0.62        ,-38.67    ,36.62
51:15.6,0.02,0.59        ,-38.62    ,36.56
51:15.6,0.02,0.55        ,-38.57    ,36.49
51:15.6,0.03,0.52        ,-38.52    ,36.42
51:15.6,0.02,0.49        ,-38.47    ,36.35
51:15.6,0.01,0.46        ,-38.42    ,36.29
51:15.6,0.07,0.43        ,-38.37    ,36.22
51:15.6,0.08,0.4         ,-38.32    ,36.15
51:15.6,0.08,0.38        ,-38.26    ,36.09
51:15.7,0.09,0.35        ,-38.21    ,36.02
51:15.7,0.08,0.33        ,-38.15    ,35.95
51:15.7,0.02,0.3         ,-38.09    ,35.88
51:15.7,0.01,0.28        ,-38.03    ,35.82
51:15.7,0.02,0.26        ,-37.98    ,35.75
51:15.7,0.04,0.24        ,-37.92    ,35.68
51:15.7,0.04,0.22        ,-37.86    ,35.61
51:15.7,0.04,0.21        ,-37.8     ,35.54
51:15.7,0.06,0.19        ,-37.73    ,35.47
51:15.7,0.08,0.17        ,-37.67    ,35.41
51:15.7,0.06,0.16        ,-37.61    ,35.34
51:15.7,0.05,0.15        ,-37.55    ,35.27
51:15.8,0.04,0.13        ,-37.48    ,35.2
51:15.8,0.04,0.12        ,-37.42    ,35.13
51:15.8,0.05,0.11        ,-37.35    ,35.06
51:15.8,0.05,0.1         ,-37.28    ,34.99
51:15.8,0.04,0.1         ,-37.22    ,34.92
51:15.8,0.04,0.09        ,-37.15    ,34.85
51:15.8,0.04,0.08        ,-37.08    ,34.78
51:15.8,0.05,0.08        ,-37.01    ,34.71
51:15.8,0.05,0.07        ,-36.94    ,34.64
51:15.8,0.05,0.07        ,-36.87    ,34.57
51:15.8,0.05,0.06        ,-36.8     ,34.5
51:15.8,0.05,0.06        ,-36.73    ,34.43
51:15.8,0.05,0.05        ,-36.66    ,34.36
51:15.9,0.05,0.05        ,-36.59    ,34.29
51:15.9,0.04,0.05        ,-36.52    ,34.22
51:15.9,0.04,0.05        ,-36.44    ,34.15
51:15.9,0.04,0.05        ,-36.37    ,34.08
51:15.9,0.04,0.05        ,-36.3     ,34.01
51:15.9,0.04,0.04        ,-36.22    ,33.94
51:15.9,0.04,0.04        ,-36.15    ,33.87
51:15.9,0.04,0.04        ,-36.07    ,33.79
51:15.9,0.04,0.04        ,-36       ,33.72
51:15.9,0.04,0.04        ,-35.92    ,33.65
51:15.9,0.04,0.04        ,-35.84    ,33.58
51:15.9,0.04,0.04        ,-35.77    ,33.51
51:15.9,0.04,0.04        ,-35.69    ,33.44
51:16.0,0.04,0.04        ,-35.61    ,33.36
51:16.0,0.04,0.04        ,-35.53    ,33.29
51:16.0,0.04,0.04        ,-35.46    ,33.22
51:16.0,0.04,0.04        ,-35.38    ,33.15
51:16.0,0.04,0.04        ,-35.3     ,33.07
51:16.0,0.04,0.04        ,-35.22    ,33
51:16.0,0.04,0.04        ,-35.14    ,32.93
51:16.0,0.04,0.04        ,-35.06    ,32.85
51:16.0,0.04,0.04        ,-34.98    ,32.78
51:16.0,0.04,0.04        ,-34.9     ,32.71
51:16.0,0.04,0.04        ,-34.82    ,32.64
51:16.0,0.04,0.04        ,-34.73    ,32.56
51:16.0,0.04,0.04        ,-34.65    ,32.49
51:16.1,0.04,0.04        ,-34.57    ,32.41
51:16.1,0.04,0.04        ,-34.49    ,32.34
51:16.1,0.04,0.04        ,-34.41    ,32.27
51:16.1,0.04,0.04        ,-34.32    ,32.19
51:16.1,0.04,0.04        ,-34.24    ,32.12
51:16.1,0.04,0.04        ,-34.16    ,32.04
51:16.1,0.04,0.04        ,-34.07    ,31.97
51:16.1,0.04,0.04        ,-33.99    ,31.9
51:16.1,0.04,0.04        ,-33.91    ,31.82
51:16.1,0.04,0.04        ,-33.82    ,31.75
51:16.1,0.04,0.04        ,-33.74    ,31.67
51:16.1,0.04,0.04        ,-33.65    ,31.6
51:16.1,0.04,0.04        ,-33.57    ,31.52
51:16.2,0.04,0.04        ,-33.48    ,31.45
51:16.2,0.04,0.04        ,-33.4     ,31.37
51:16.2,0.04,0.04        ,-33.31    ,31.3
51:16.2,0.04,0.04        ,-33.23    ,31.22
51:16.2,0.04,0.04        ,-33.14    ,31.14
51:16.2,0.04,0.04        ,-33.06    ,31.07
51:16.2,0.04,0.04        ,-32.97    ,30.99
51:16.2,0.04,0.04        ,-32.88    ,30.92
51:16.2,0.04,0.04        ,-32.8     ,30.84
51:16.2,0.04,0.04        ,-32.71    ,30.77
51:16.2,0.04,0.04        ,-32.63    ,30.69
51:16.2,0.04,0.04        ,-32.54    ,30.61
51:16.3,0.04,0.04        ,-32.45    ,30.54
51:16.3,0.04,0.04        ,-32.37    ,30.46
51:16.3,0.04,0.04        ,-32.28    ,30.38
51:16.3,0.04,0.04        ,-32.19    ,30.31
51:16.3,0.04,0.04        ,-32.1     ,30.23
51:16.3,0.04,0.04        ,-32.02    ,30.15
51:16.3,0.04,0.04        ,-31.93    ,30.08
51:16.3,0.04,0.04        ,-31.84    ,30
51:16.3,0.04,0.04        ,-31.76    ,29.92
51:16.3,0.04,0.04        ,-31.67    ,29.84
51:16.3,0.04,0.04        ,-31.58    ,29.77
51:16.3,0.04,0.04        ,-31.49    ,29.69
51:16.3,0.04,0.04        ,-31.4     ,29.61
51:16.4,0.04,0.04        ,-31.32    ,29.53
51:16.4,0.04,0.04        ,-31.23    ,29.45
51:16.4,0.04,0.04        ,-31.14    ,29.38
51:16.4,0.04,0.04        ,-31.05    ,29.3
51:16.4,0.04,0.04        ,-30.97    ,29.22
51:16.4,0.04,0.04        ,-30.88    ,29.14
51:16.4,0.04,0.04        ,-30.79    ,29.06
51:16.4,0.04,0.04        ,-30.7     ,28.98
51:16.4,0.04,0.04        ,-30.61    ,28.91
51:16.4,0.04,0.04        ,-30.53    ,28.83
51:16.4,0.04,0.04        ,-30.44    ,28.75
51:16.4,0.04,0.04        ,-30.35    ,28.67
51:16.4,0.04,0.04        ,-30.26    ,28.59
51:16.5,0.04,0.04        ,-30.17    ,28.51
51:16.5,0.04,0.04        ,-30.09    ,28.43
51:16.5,0.04,0.04        ,-30       ,28.35
51:16.5,0.04,0.04        ,-29.91    ,28.27
51:16.5,0.04,0.04        ,-29.82    ,28.19
51:16.5,0.04,0.04        ,-29.74    ,28.11
51:16.5,0.04,0.04        ,-29.65    ,28.03
51:16.5,0.04,0.04        ,-29.56    ,27.95
51:16.5,0.04,0.04        ,-29.47    ,27.87
51:16.5,0.04,0.04        ,-29.38    ,27.79
51:16.5,0.04,0.04        ,-29.3     ,27.71
51:16.5,0.04,0.04        ,-29.21    ,27.63
51:16.5,0.04,0.04        ,-29.12    ,27.55
51:16.6,0.04,0.04        ,-29.03    ,27.47
51:16.6,0.04,0.04        ,-28.95    ,27.39
51:16.6,0.04,0.04        ,-28.86    ,27.31
51:16.6,0.04,0.04        ,-28.77    ,27.23
51:16.6,0.04,0.04        ,-28.68    ,27.15
51:16.6,0.04,0.04        ,-28.6     ,27.07
51:16.6,0.04,0.04        ,-28.51    ,26.99
51:16.6,0.04,0.04        ,-28.42    ,26.91
51:16.6,0.04,0.04        ,-28.34    ,26.82
51:16.6,0.04,0.04        ,-28.25    ,26.74
51:16.6,0.04,0.04        ,-28.16    ,26.66
51:16.6,0.04,0.04        ,-28.08    ,26.58
51:16.6,0.04,0.04        ,-27.99    ,26.5
51:16.7,0.04,0.04        ,-27.9     ,26.42
51:16.7,0.04,0.04        ,-27.82    ,26.34
51:16.7,0.04,0.04        ,-27.73    ,26.25
51:16.7,0.04,0.04        ,-27.64    ,26.17
51:16.7,0.05,0.04        ,-27.56    ,26.09
51:16.7,0.04,0.04        ,-27.47    ,26.01
51:16.7,0.04,0.04        ,-27.38    ,25.92
51:16.7,0.03,0.04        ,-27.3     ,25.84
51:16.7,0.04,0.04        ,-27.21    ,25.76
51:16.7,0.04,0.04        ,-27.13    ,25.68
51:16.7,0.04,0.04        ,-27.04    ,25.59
51:16.7,0.05,0.04        ,-26.96    ,25.51
51:16.8,0.04,0.04        ,-26.87    ,25.43
51:16.8,0.04,0.04        ,-26.78    ,25.35
51:16.8,0.04,0.04        ,-26.7     ,25.26
51:16.8,0.04,0.04        ,-26.61    ,25.18
51:16.8,0.04,0.04        ,-26.53    ,25.1
51:16.8,0.04,0.04        ,-26.44    ,25.01
51:16.8,0.04,0.04        ,-26.36    ,24.93
51:16.8,0.04,0.04        ,-26.28    ,24.85
51:16.8,0.04,0.04        ,-26.19    ,24.76
51:16.8,0.04,0.04        ,-26.11    ,24.68
51:16.8,0.04,0.04        ,-26.02    ,24.6
51:16.8,0.04,0.04        ,-25.94    ,24.51
51:16.8,0.04,0.04        ,-25.85    ,24.43
51:16.9,0.04,0.04        ,-25.77    ,24.34
51:16.9,0.04,0.04        ,-25.69    ,24.26
51:16.9,0.04,0.04        ,-25.6     ,24.18
51:16.9,0.04,0.04        ,-25.52    ,24.09
51:16.9,0.04,0.04        ,-25.44    ,24.01
51:16.9,0.04,0.04        ,-25.35    ,23.92
51:16.9,0.04,0.04        ,-25.27    ,23.84
51:16.9,0.04,0.04        ,-25.19    ,23.75
51:16.9,0.05,0.04        ,-25.11    ,23.67
51:16.9,0.04,0.04        ,-25.02    ,23.58
51:16.9,0.05,0.04        ,-24.94    ,23.5
51:16.9,0.04,0.04        ,-24.86    ,23.41
51:16.9,0.04,0.04        ,-24.78    ,23.33
51:17.0,0.04,0.04        ,-24.69    ,23.24
51:17.0,0.04,0.04        ,-24.61    ,23.16
51:17.0,0.04,0.04        ,-24.53    ,23.07
51:17.0,0.04,0.04        ,-24.45    ,22.99
51:17.0,0.04,0.04        ,-24.37    ,22.9
51:17.0,0.04,0.04        ,-24.29    ,22.82
51:17.0,0.04,0.04        ,-24.21    ,22.73
51:17.0,0.05,0.04        ,-24.13    ,22.64
51:17.0,0.05,0.04        ,-24.05    ,22.56
51:17.0,0.05,0.04        ,-23.96    ,22.47
51:17.0,0.04,0.04        ,-23.88    ,22.39
51:17.0,0.04,0.04        ,-23.8     ,22.3
51:17.0,0.05,0.04        ,-23.72    ,22.21
51:17.1,0.04,0.04        ,-23.64    ,22.13
51:17.1,0.04,0.04        ,-23.57    ,22.04
51:17.1,0.05,0.04        ,-23.49    ,21.96
51:17.1,0.04,0.04        ,-23.41    ,21.87
51:17.1,0.04,0.04        ,-23.33    ,21.78
51:17.1,0.04,0.04        ,-23.25    ,21.7
51:17.1,0.04,0.04        ,-23.17    ,21.61
51:17.1,0.04,0.04        ,-23.09    ,21.52
51:17.1,0.04,0.04        ,-23.01    ,21.44
51:17.1,0.04,0.04        ,-22.93    ,21.35
51:17.1,0.04,0.04        ,-22.86    ,21.26
51:17.1,0.05,0.04        ,-22.78    ,21.17
51:17.1,0.04,0.04        ,-22.7     ,21.09
51:17.2,0.04,0.04        ,-22.62    ,21
51:17.2,0.05,0.04        ,-22.55    ,20.91
51:17.2,0.05,0.04        ,-22.47    ,20.83
51:17.2,0.05,0.04        ,-22.39    ,20.74
51:17.2,0.04,0.05        ,-22.32    ,20.65
51:17.2,0.04,0.05        ,-22.24    ,20.56
51:17.2,0.04,0.05        ,-22.16    ,20.47
51:17.2,0.04,0.05        ,-22.09    ,20.39
51:17.2,0.04,0.05        ,-22.01    ,20.3
51:17.2,0.05,0.05        ,-21.91    ,20.21
51:17.2,0.04,0.05        ,-21.82    ,20.12
51:17.2,0.05,0.05        ,-21.72    ,20.03
51:17.3,0.05,0.05        ,-21.63    ,19.95
51:17.3,0.04,0.05        ,-21.54    ,19.86
51:17.3,0.04,0.05        ,-21.44    ,19.77
51:17.3,0.05,0.05        ,-21.35    ,19.68
51:17.3,0.05,0.05        ,-21.26    ,19.59
51:17.3,0.05,0.05        ,-21.16    ,19.5
51:17.3,0.05,0.05        ,-21.07    ,19.42
51:17.3,0.04,0.05        ,-20.98    ,19.33
51:17.3,0.04,0.05        ,-20.88    ,19.24
51:17.3,0.05,0.05        ,-20.79    ,19.15
51:17.3,0.05,0.05        ,-20.69    ,19.06
51:17.3,0.05,0.05        ,-20.59    ,18.97
51:17.3,0.05,0.05        ,-20.5     ,18.88
51:17.4,0.05,0.05        ,-20.4     ,18.79
51:17.4,0.05,0.05        ,-20.31    ,18.7
51:17.4,0.05,0.05        ,-20.21    ,18.61
51:17.4,0.05,0.05        ,-20.12    ,18.53
51:17.4,0.05,0.05        ,-20.03    ,18.44
51:17.4,0.05,0.05        ,-19.94    ,18.35
51:17.4,0.05,0.05        ,-19.84    ,18.26
51:17.4,0.05,0.05        ,-19.75    ,18.17
51:17.4,0.05,0.05        ,-19.66    ,18.08
51:17.4,0.05,0.05        ,-19.57    ,17.99
51:17.4,0.05,0.05        ,-19.48    ,17.9
51:17.4,0.05,0.05        ,-19.39    ,17.81
51:17.4,0.05,0.05        ,-19.3     ,17.72
51:17.5,0.05,0.05        ,-19.21    ,17.63
51:17.5,0.05,0.05        ,-19.13    ,17.54
51:17.5,0.05,0.05        ,-19.04    ,17.45
51:17.5,0.05,0.05        ,-18.95    ,17.36
51:17.5,0.05,0.05        ,-18.86    ,17.27
51:17.5,0.05,0.05        ,-18.77    ,17.18
51:17.5,0.05,0.05        ,-18.68    ,17.09
51:17.5,0.05,0.05        ,-18.59    ,17
51:17.5,0.05,0.05        ,-18.49    ,16.91
51:17.5,0.05,0.05        ,-18.4     ,16.81
51:17.5,0.05,0.05        ,-18.31    ,16.72
51:17.5,0.05,0.05        ,-18.22    ,16.63
51:17.5,0.05,0.05        ,-18.13    ,16.54
51:17.6,0.05,0.05        ,-18.04    ,16.45
51:17.6,0.05,0.05        ,-17.95    ,16.36
51:17.6,0.05,0.05        ,-17.85    ,16.27
51:17.6,0.05,0.05        ,-17.76    ,16.18
51:17.6,0.05,0.05        ,-17.67    ,16.09
51:17.6,0.05,0.05        ,-17.58    ,16
51:17.6,0.05,0.05        ,-17.49    ,15.9
51:17.6,0.05,0.05        ,-17.4     ,15.81
51:17.6,0.05,0.05        ,-17.31    ,15.72
51:17.6,0.05,0.05        ,-17.22    ,15.63
51:17.6,0.05,0.05        ,-17.13    ,15.54
51:17.6,0.05,0.05        ,-17.04    ,15.45
51:17.6,0.05,0.05        ,-16.96    ,15.36
51:17.7,0.05,0.05        ,-16.87    ,15.26
51:17.7,0.05,0.05        ,-16.79    ,15.17
51:17.7,0.05,0.05        ,-16.7     ,15.08
51:17.7,0.05,0.05        ,-16.62    ,14.99
51:17.7,0.05,0.05        ,-16.53    ,14.9
51:17.7,0.05,0.05        ,-16.45    ,14.8
51:17.7,0.04,0.05        ,-16.36    ,14.71
51:17.7,0.04,0.05        ,-16.28    ,14.62
51:17.7,0.04,0.05        ,-16.18    ,14.53
51:17.7,0.05,0.05        ,-16.08    ,14.44
51:17.7,0.05,0.05        ,-15.98    ,14.34
51:17.7,0.05,0.05        ,-15.88    ,14.25
51:17.8,0.05,0.05        ,-15.78    ,14.16
51:17.8,0.05,0.05        ,-15.69    ,14.07
51:17.8,0.05,0.05        ,-15.59    ,13.97
51:17.8,0.05,0.05        ,-15.49    ,13.88
51:17.8,0.05,0.05        ,-15.4     ,13.79
51:17.8,0.05,0.05        ,-15.31    ,13.7
51:17.8,0.05,0.05        ,-15.21    ,13.6
51:17.8,0.05,0.05        ,-15.12    ,13.51
51:17.8,0.05,0.05        ,-15.03    ,13.42
51:17.8,0.05,0.05        ,-14.94    ,13.32
51:17.8,0.05,0.05        ,-14.85    ,13.23
51:17.8,0.05,0.05        ,-14.76    ,13.14
51:17.8,0.05,0.05        ,-14.67    ,13.05
51:17.9,0.04,0.05        ,-14.58    ,12.95
51:17.9,0.04,0.05        ,-14.49    ,12.86
51:17.9,0.05,0.05        ,-14.39    ,12.77
51:17.9,0.05,0.05        ,-14.3     ,12.67
51:17.9,0.05,0.05        ,-14.2     ,12.58
51:17.9,0.05,0.05        ,-14.11    ,12.49
51:17.9,0.05,0.05        ,-14.01    ,12.39
51:17.9,0.05,0.05        ,-13.92    ,12.3
51:17.9,0.05,0.05        ,-13.83    ,12.2
51:17.9,0.04,0.05        ,-13.73    ,12.11
51:17.9,0.05,0.05        ,-13.63    ,12.02
51:17.9,0.05,0.05        ,-13.53    ,11.92
51:17.9,0.05,0.05        ,-13.43    ,11.83
51:18.0,0.05,0.05        ,-13.33    ,11.74
51:18.0,0.05,0.05        ,-13.24    ,11.64
51:18.0,0.05,0.05        ,-13.14    ,11.55
51:18.0,0.05,0.05        ,-13.04    ,11.45
51:18.0,0.05,0.05        ,-12.95    ,11.36
51:18.0,0.05,0.05        ,-12.85    ,11.27
51:18.0,0.05,0.05        ,-12.76    ,11.17
51:18.0,0.05,0.05        ,-12.66    ,11.08
51:18.0,0.05,0.05        ,-12.57    ,10.98
51:18.0,0.05,0.05        ,-12.48    ,10.89
51:18.0,0.05,0.05        ,-12.38    ,10.79
51:18.0,0.05,0.05        ,-12.29    ,10.7
51:18.0,0.05,0.05        ,-12.2     ,10.61
51:18.1,0.05,0.05        ,-12.1     ,10.51
51:18.1,0.05,0.05        ,-12       ,10.42
51:18.1,0.05,0.05        ,-11.91    ,10.32
51:18.1,0.05,0.05        ,-11.81    ,10.23
51:18.1,0.05,0.05        ,-11.72    ,10.13
51:18.1,0.05,0.05        ,-11.62    ,10.04
51:18.1,0.05,0.05        ,-11.53    ,9.94
51:18.1,0.05,0.05        ,-11.44    ,9.85
51:18.1,0.05,0.05        ,-11.35    ,9.75
51:18.1,0.05,0.05        ,-11.26    ,9.66
51:18.1,0.05,0.05        ,-11.17    ,9.56
51:18.1,0.05,0.05        ,-11.08    ,9.47
51:18.1,0.05,0.05        ,-11       ,9.37
51:18.2,0.04,0.05        ,-10.91    ,9.28
51:18.2,0.05,0.05        ,-10.8     ,9.18
51:18.2,0.05,0.05        ,-10.7     ,9.09
51:18.2,0.05,0.05        ,-10.6     ,8.99
51:18.2,0.05,0.05        ,-10.49    ,8.9
51:18.2,0.05,0.05        ,-10.39    ,8.8
51:18.2,0.05,0.05        ,-10.29    ,8.71
51:18.2,0.05,0.05        ,-10.19    ,8.61
51:18.2,0.05,0.05        ,-10.09    ,8.52
51:18.2,0.05,0.05        ,-9.99     ,8.42
51:18.2,0.05,0.05        ,-9.9      ,8.33
51:18.2,0.05,0.05        ,-9.8      ,8.23
51:18.3,0.05,0.05        ,-9.71     ,8.13
51:18.3,0.06,0.05        ,-9.61     ,8.04
51:18.3,0.05,0.05        ,-9.52     ,7.94
51:18.3,0.05,0.05        ,-9.43     ,7.85
51:18.3,0.06,0.05        ,-9.34     ,7.75
51:18.3,0.05,0.05        ,-9.25     ,7.66
51:18.3,0.03,0.05        ,-9.16     ,7.56
51:18.3,0.06,0.05        ,-9.07     ,7.46
51:18.3,0.04,0.05        ,-8.98     ,7.37
51:18.3,0.05,0.05        ,-8.88     ,7.27
51:18.3,0.05,0.05        ,-8.78     ,7.18
51:18.3,0.05,0.05        ,-8.68     ,7.08
51:18.3,0.05,0.05        ,-8.59     ,6.98
51:18.4,0.05,0.05        ,-8.49     ,6.89
51:18.4,0.05,0.05        ,-8.4      ,6.79
51:18.4,0.05,0.05        ,-8.3      ,6.7
51:18.4,0.05,0.05        ,-8.21     ,6.6
51:18.4,0.05,0.05        ,-8.12     ,6.5
51:18.4,0.05,0.05        ,-8.03     ,6.41
51:18.4,0.04,0.05        ,-7.94     ,6.31
51:18.4,0.05,0.05        ,-7.83     ,6.21
51:18.4,0.05,0.05        ,-7.73     ,6.12
51:18.4,0.05,0.05        ,-7.62     ,6.02
51:18.4,0.05,0.05        ,-7.52     ,5.92
51:18.4,0.05,0.05        ,-7.42     ,5.83
51:18.4,0.05,0.05        ,-7.32     ,5.73
51:18.5,0.05,0.05        ,-7.22     ,5.63
51:18.5,0.05,0.05        ,-7.12     ,5.54
51:18.5,0.05,0.05        ,-7.03     ,5.44
51:18.5,0.05,0.05        ,-6.93     ,5.34
51:18.5,0.05,0.05        ,-6.84     ,5.25
51:18.5,0.05,0.05        ,-6.74     ,5.15
51:18.5,0.05,0.05        ,-6.64     ,5.05
51:18.5,0.05,0.05        ,-6.55     ,4.96
51:18.5,0.05,0.05        ,-6.45     ,4.86
51:18.5,0.05,0.05        ,-6.35     ,4.76
51:18.5,0.05,0.05        ,-6.25     ,4.67
51:18.5,0.05,0.05        ,-6.15     ,4.57
51:18.5,0.05,0.05        ,-6.05     ,4.47
51:18.6,0.05,0.05        ,-5.95     ,4.38
51:18.6,0.05,0.05        ,-5.85     ,4.28
51:18.6,0.05,0.05        ,-5.75     ,4.18
51:18.6,0.06,0.05        ,-5.65     ,4.09
51:18.6,0.05,0.05        ,-5.55     ,3.99
51:18.6,0.05,0.05        ,-5.46     ,3.89
51:18.6,0.05,0.05        ,-5.36     ,3.79
51:18.6,0.05,0.05        ,-5.27     ,3.7
51:18.6,0.05,0.05        ,-5.18     ,3.6
51:18.6,0.05,0.05        ,-5.09     ,3.5
51:18.6,0.05,0.05        ,-4.99     ,3.4
51:18.6,0.05,0.05        ,-4.9      ,3.31
51:18.6,0.05,0.05        ,-4.8      ,3.21
51:18.7,0.05,0.05        ,-4.7      ,3.11
51:18.7,0.05,0.05        ,-4.6      ,3.02
51:18.7,0.05,0.05        ,-4.51     ,2.92
51:18.7,0.05,0.05        ,-4.41     ,2.82
51:18.7,0.05,0.05        ,-4.31     ,2.72
51:18.7,0.05,0.05        ,-4.21     ,2.63
51:18.7,0.05,0.05        ,-4.12     ,2.53
51:18.7,0.05,0.05        ,-4.02     ,2.43
51:18.7,0.05,0.05        ,-3.92     ,2.33
51:18.7,0.05,0.05        ,-3.82     ,2.24
51:18.7,0.05,0.05        ,-3.73     ,2.14
51:18.7,0.05,0.05        ,-3.63     ,2.04
51:18.8,0.05,0.05        ,-3.53     ,1.94
51:18.8,0.05,0.05        ,-3.43     ,1.84
51:18.8,0.05,0.05        ,-3.34     ,1.75
51:18.8,0.05,0.05        ,-3.24     ,1.65
51:18.8,0.05,0.05        ,-3.14     ,1.55
51:18.8,0.05,0.05        ,-3.04     ,1.45
51:18.8,0.05,0.05        ,-2.94     ,1.36
51:18.8,0.05,0.05        ,-2.85     ,1.26
51:18.8,0.05,0.05        ,-2.75     ,1.16
51:18.8,0.05,0.05        ,-2.65     ,1.06
51:18.8,0.05,0.05        ,-2.55     ,0.96
51:18.8,0.05,0.05        ,-2.46     ,0.87
51:18.8,0.05,0.05        ,-2.36     ,0.77
51:18.9,0.05,0.05        ,-2.26     ,0.67
51:18.9,0.05,0.05        ,-2.16     ,0.57
51:18.9,0.05,0.05        ,-2.06     ,0.47
51:18.9,0.05,0.05        ,-1.97     ,0.38
51:18.9,0.05,0.05        ,-1.87     ,0.28
51:18.9,0.05,0.05        ,-1.76     ,0.18
51:18.9,0.05,0.05        ,-1.66     ,0.08
51:18.9,0.05,0.05        ,-1.56     ,-0.02
51:18.9,0.05,0.05        ,-1.46     ,-0.11
51:18.9,0.05,0.05        ,-1.36     ,-0.21
51:18.9,0.05,0.05        ,-1.26     ,-0.31
51:18.9,0.05,0.05        ,-1.17     ,-0.41
51:18.9,0.05,0.05        ,-1.07     ,-0.51
51:19.0,0.05,0.05        ,-0.98     ,-0.61
51:19.0,0.06,0.05        ,-0.89     ,-0.7
51:19.0,0.05,0.05        ,-0.8      ,-0.8
51:19.0,0.05,0.05        ,-0.71     ,-0.9
51:19.0,0.05,0.05        ,-0.62     ,-1
51:19.0,0.04,0.05        ,-0.53     ,-1.1
51:19.0,0.04,0.05        ,-0.44     ,-1.2
51:19.0,0.04,0.05        ,-0.35     ,-1.29
51:19.0,0.04,0.05        ,-0.25     ,-1.39
51:19.0,0.05,0.05        ,-0.16     ,-1.49
51:19.0,0.05,0.05        ,-0.06     ,-1.59
51:19.0,0.05,0.05        ,0.03      ,-1.69
51:19.0,0.05,0.05        ,0.12      ,-1.79
51:19.1,0.06,0.05        ,0.21      ,-1.88
51:19.1,0.05,0.05        ,0.3       ,-1.98
51:19.1,0.05,0.05        ,0.38      ,-2.08
51:19.1,0.05,0.05        ,0.47      ,-2.18
51:19.1,0.05,0.05        ,0.55      ,-2.28
51:19.1,0.04,0.05        ,0.64      ,-2.38
51:19.1,0.03,0.05        ,0.72      ,-2.47
51:19.1,0.03,0.05        ,0.8       ,-2.57
51:19.1,0.04,0.05        ,0.89      ,-2.67
51:19.1,0.04,0.05        ,1.01      ,-2.77
51:19.1,0.04,0.05        ,1.13      ,-2.87
51:19.1,0.04,0.05        ,1.26      ,-2.97
51:19.1,0.05,0.05        ,1.38      ,-3.07
51:19.2,0.05,0.05        ,1.5       ,-3.16
51:19.2,0.05,0.05        ,1.62      ,-3.26
51:19.2,0.05,0.05        ,1.74      ,-3.36
51:19.2,0.05,0.05        ,1.85      ,-3.46
51:19.2,0.05,0.05        ,1.96      ,-3.56
51:19.2,0.05,0.05        ,2.08      ,-3.66
51:19.2,0.05,0.05        ,2.19      ,-3.76
51:19.2,0.05,0.05        ,2.29      ,-3.86
51:19.2,0.05,0.05        ,2.4       ,-3.95
51:19.2,0.05,0.05        ,2.5       ,-4.05
51:19.2,0.05,0.05        ,2.61      ,-4.15
51:19.2,0.05,0.05        ,2.71      ,-4.25
51:19.3,0.05,0.05        ,2.81      ,-4.35
51:19.3,0.07,0.05        ,2.91      ,-4.45
51:19.3,0.05,0.05        ,3.01      ,-4.55
51:19.3,0.05,0.05        ,3.11      ,-4.64
51:19.3,0.05,0.05        ,3.2       ,-4.74
51:19.3,0.05,0.05        ,3.3       ,-4.84
51:19.3,0.05,0.05        ,3.39      ,-4.94
51:19.3,0.05,0.05        ,3.49      ,-5.04
51:19.3,0.06,0.05        ,3.59      ,-5.14
